Player Name;SteamID64;Weapon Class;Purchased Count;Dropped Count;Picked Up From Teammate;Total Shots Fired;Total Hits Registered;Total Misses;Total Kills;Headshot Kills;Headshot/Kills Ratio
yxngstxr;76561199137143905;USP-S;1;0;0;5;1;4;0;0;0.00%
yxngstxr;76561199137143905;P2000;34;0;0;50;9;41;3;1;33.33%
yxngstxr;76561199137143905;Incendiary Grenade;30;0;0;16;3;13;0;0;0.00%
yxngstxr;76561199137143905;Flashbang;188;0;0;112;0;112;0;0;0.00%
yxngstxr;76561199137143905;Kevlar + Helmet;59;0;0;0;0;0;0;0;0.00%
yxngstxr;76561199137143905;AWP;28;0;0;46;7;39;18;0;0.00%
yxngstxr;76561199137143905;MAC-10;2;0;0;0;0;0;0;0;0.00%
yxngstxr;76561199137143905;M4A4;13;0;0;98;19;79;11;4;36.36%
yxngstxr;76561199137143905;Smoke Grenade;156;0;0;86;1;85;0;0;0.00%
yxngstxr;76561199137143905;Five-SeveN;11;0;0;60;13;47;7;3;42.86%
yxngstxr;76561199137143905;Decoy Grenade;1;0;0;0;0;0;0;0;0.00%
yxngstxr;76561199137143905;FAMAS;2;0;0;13;1;12;2;1;50.00%
yxngstxr;76561199137143905;Glock-18;45;0;0;93;11;82;3;3;100.00%
yxngstxr;76561199137143905;Desert Eagle;5;0;0;6;1;5;1;0;0.00%
yxngstxr;76561199137143905;MP9;5;0;0;26;6;20;3;3;100.00%
yxngstxr;76561199137143905;Knife;76;0;0;76;0;76;0;0;0.00%
yxngstxr;76561199137143905;Galil AR;8;0;0;74;11;63;3;2;66.67%
yxngstxr;76561199137143905;Defuse Kit;5;0;0;0;0;0;0;0;0.00%
yxngstxr;76561199137143905;Dual Berettas;6;0;0;46;6;40;1;0;0.00%
yxngstxr;76561199137143905;C4;60;0;0;0;0;0;0;0;0.00%
yxngstxr;76561199137143905;AK-47;41;0;0;371;65;306;25;18;72.00%
yxngstxr;76561199137143905;M4A1;13;0;0;181;42;139;11;7;63.64%
yxngstxr;76561199137143905;Tec-9;8;0;0;21;1;20;1;1;100.00%
yxngstxr;76561199137143905;Kevlar Vest;16;0;0;0;0;0;0;0;0.00%
yxngstxr;76561199137143905;Molotov;57;0;0;29;3;26;1;0;0.00%
yxngstxr;76561199137143905;HE Grenade;53;0;0;19;7;12;1;0;0.00%
EmiliaQAQ;76561198816731401;Defuse Kit;8;0;0;0;0;0;0;0;0.00%
EmiliaQAQ;76561198816731401;Kevlar Vest;33;0;0;0;0;0;0;0;0.00%
EmiliaQAQ;76561198816731401;Desert Eagle;8;0;0;6;1;5;1;0;0.00%
EmiliaQAQ;76561198816731401;Kevlar + Helmet;66;0;0;0;0;0;0;0;0.00%
